weekPlayed,comedy,design,entertainment,finance,food,interview,music,news,politics,society,tech
1,60,37,0,28,49,62,7,33,48,57,41
2,55,28,0,28,0,56,5,38,48,58,45
3,49,21,0,28,63,33,3,46,47,41,58
4,59,17,0,26,53,72,3,42,46,64,42
5,59,21,0,27,56,63,4,37,58,40,35
6,71,5,0,26,46,0,3,36,53,59,36
7,58,11,0,27,0,25,4,43,60,43,37
8,51,31,0,28,49,65,4,46,58,54,19
9,55,23,0,28,44,27,4,42,44,49,36
10,58,22,0,26,52,47,5,40,53,30,39
11,73,17,0,28,0,3,4,41,52,50,28
12,53,4,0,31,0,47,4,39,47,46,26
13,61,31,0,27,41,47,3,33,53,49,43
14,59,6,0,31,0,0,3,37,69,17,0
15,60,25,0,30,0,46,3,45,41,48,32
16,55,43,0,29,0,57,12,43,79,48,26
17,55,18,0,27,43,48,9,40,52,45,43
18,55,32,0,26,0,46,6,45,0,46,39
19,60,30,39,28,62,62,9,39,71,38,34
20,53,37,0,28,49,73,6,43,69,39,36
21,55,25,0,23,40,0,3,39,75,39,43
22,60,23,0,23,56,47,4,44,71,42,29
23,63,21,0,17,47,0,3,34,0,36,33
24,57,30,0,0,0,0,3,29,35,49,65
25,58,33,0,23,56,0,3,31,46,42,29
26,53,24,46,20,58,0,3,44,43,41,28
